Month,Elec_kWh_Year1,Gas_kWh_Year1,Total_kWh_Year1,Elec_kWh_Year2,Gas_kWh_Year2,Total_kWh_Year2,Elec_Change_kWh,Gas_Change_kWh,Total_Change_kWh,Month_Name
1,26581.51,4530.99,31112.50,26581.51,4530.99,31112.50,0.00,0.00,0.00,Jan
2,24601.55,2849.29,27450.84,24601.55,2849.29,27450.84,0.00,0.00,0.00,Feb
3,29306.53,2848.85,32155.37,29306.53,2848.85,32155.37,0.00,0.00,0.00,Mar
4,54911.51,4506.33,59417.84,54911.51,4506.33,59417.84,0.00,0.00,0.00,Apr
5,30194.61,2184.01,32378.62,30194.61,2184.01,32378.62,0.00,0.00,0.00,May
6,30586.92,2027.12,32614.04,30586.92,2027.12,32614.04,0.00,0.00,0.00,Jun
7,59711.15,3887.94,63599.10,59711.15,3887.94,63599.10,0.00,0.00,0.00,Jul
8,33354.04,1993.46,35347.50,33354.04,1993.46,35347.50,0.00,0.00,0.00,Aug
9,31067.22,1892.50,32959.72,31067.22,1892.50,32959.72,0.00,0.00,0.00,Sep
10,29990.06,2074.24,32064.31,29990.06,2074.24,32064.31,0.00,0.00,0.00,Oct
11,27146.04,2364.81,29510.85,27146.04,2364.81,29510.85,0.00,0.00,0.00,Nov
12,26183.04,3387.60,29570.64,26183.04,3387.60,29570.64,0.00,0.00,0.00,Dec
